web-scraper-order,web-scraper-start-url,Disease,Disease-href,Symptoms
1576022295-4379,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Brain aneurysm,https://www.mayoclinic.org/diseases-conditions/brain-aneurysm/symptoms-causes/syc-20361483,"Sudden, extremely severe headache"
1576022461-4824,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Mesenteric lymphadenitis,https://www.mayoclinic.org/diseases-conditions/mesenteric-lymphadenitis/symptoms-causes/syc-20353799,General abdominal tenderness
1576022201-4131,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Arteriovenous malformation,https://www.mayoclinic.org/diseases-conditions/arteriovenous-malformation/symptoms-causes/syc-20350544,Headaches
1576022467-4845,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Compulsive gambling,https://www.mayoclinic.org/diseases-conditions/compulsive-gambling/symptoms-causes/syc-20355178,"Trying to control, cut back or stop gambling, without success"
1576022471-4866,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Alcohol use disorder,https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/symptoms-causes/syc-20369243,Being unable to limit the amount of alcohol you drink
1576022365-4610,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Penicillin allergy,https://www.mayoclinic.org/diseases-conditions/penicillin-allergy/symptoms-causes/syc-20376222,Hives
1576022123-3928,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Autoimmune pancreatitis,https://www.mayoclinic.org/diseases-conditions/autoimmune-pancreatitis/symptoms-causes/syc-20369800,Pain in your upper abdomen or middle part of your back
1576022144-3996,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Atrial fibrillation,https://www.mayoclinic.org/diseases-conditions/atrial-fibrillation/symptoms-causes/syc-20350624,Weakness
1576022246-4271,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Pseudomembranous colitis,https://www.mayoclinic.org/diseases-conditions/pseudomembranous-colitis/symptoms-causes/syc-20351434,Watery diarrhea
1576022299-4392,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Vitamin deficiency anemia,https://www.mayoclinic.org/diseases-conditions/vitamin-deficiency-anemia/symptoms-causes/syc-20355025,Dizziness
1576022307-4429,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Aplastic anemia,https://www.mayoclinic.org/diseases-conditions/aplastic-anemia/symptoms-causes/syc-20355015,Unexplained or easy bruising
1576022363-4599,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Pet allergy,https://www.mayoclinic.org/diseases-conditions/pet-allergy/symptoms-causes/syc-20352192,Runny nose
1576022254-4290,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Anorexia nervosa,https://www.mayoclinic.org/diseases-conditions/anorexia-nervosa/symptoms-causes/syc-20353591,Thin appearance
1576022185-4089,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Juvenile idiopathic arthritis,https://www.mayoclinic.org/diseases-conditions/juvenile-idiopathic-arthritis/symptoms-causes/syc-20374082,Swelling. Joint swelling is common but is often first noticed in larger joints such as the knee.
1576022537-5044,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Abdominal aortic aneurysm,https://www.mayoclinic.org/diseases-conditions/abdominal-aortic-aneurysm/symptoms-causes/syc-20350688,Back pain
1576022416-4739,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Myelofibrosis,https://www.mayoclinic.org/diseases-conditions/myelofibrosis/symptoms-causes/syc-20355057,Fever
1576022309-4436,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Anemia,https://www.mayoclinic.org/diseases-conditions/anemia/symptoms-causes/syc-20351360,Weakness
1576022230-4205,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Aortic dissection,https://www.mayoclinic.org/diseases-conditions/aortic-dissection/symptoms-causes/syc-20369496,"Sudden severe chest or upper back pain, often described as a tearing, ripping or shearing sensation, that radiates to the neck or down the back"
1576022224-4182,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Aortic valve stenosis,https://www.mayoclinic.org/diseases-conditions/aortic-stenosis/symptoms-causes/syc-20353139,"Shortness of breath, especially when you have been active"
1576022350-4563,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Amyotrophic lateral sclerosis (ALS),https://www.mayoclinic.org/diseases-conditions/amyotrophic-lateral-sclerosis/symptoms-causes/syc-20354022,"Muscle cramps and twitching in your arms, shoulders and tongue"
1576022425-4749,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],"Macular degeneration, dry",https://www.mayoclinic.org/diseases-conditions/dry-macular-degeneration/symptoms-causes/syc-20350375,The need for brighter light when reading or doing close work
1576022371-4634,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Mold allergy,https://www.mayoclinic.org/diseases-conditions/mold-allergy/symptoms-causes/syc-20351519,Watery eyes
1576022201-4132,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Arteriovenous malformation,https://www.mayoclinic.org/diseases-conditions/arteriovenous-malformation/symptoms-causes/syc-20350544,Nausea and vomiting
1576022250-4283,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Anterior prolapse (cystocele),https://www.mayoclinic.org/diseases-conditions/cystocele/symptoms-causes/syc-20369452,Pain or urinary leakage during sexual intercourse
1576022493-4946,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Acute coronary syndrome,https://www.mayoclinic.org/diseases-conditions/acute-coronary-syndrome/symptoms-causes/syc-20352136,Indigestion
1576022420-4744,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],"Macular degeneration, wet",https://www.mayoclinic.org/diseases-conditions/wet-macular-degeneration/symptoms-causes/syc-20351107,A well-defined blurry spot or blind spot in your field of vision
1576022371-4632,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Mold allergy,https://www.mayoclinic.org/diseases-conditions/mold-allergy/symptoms-causes/syc-20351519,Cough and postnasal drip
1576022477-4888,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Radiation sickness,https://www.mayoclinic.org/diseases-conditions/radiation-sickness/symptoms-causes/syc-20377058,Weakness and fatigue
1576022324-4480,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Amyloidosis,https://www.mayoclinic.org/diseases-conditions/amyloidosis/symptoms-causes/syc-20353178,"Diarrhea, possibly with blood, or constipation"
1576022481-4906,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Acute lymphocytic leukemia,https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/symptoms-causes/syc-20369077,"Lumps caused by swollen lymph nodes in and around the neck, underarm, abdomen or groin"
1576022250-4284,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Anterior prolapse (cystocele),https://www.mayoclinic.org/diseases-conditions/cystocele/symptoms-causes/syc-20369452,"In severe cases, a bulge of tissue that protrudes through your vaginal opening and may feel like sitting on an egg"
1576022205-4140,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Arteriosclerosis / atherosclerosis,https://www.mayoclinic.org/diseases-conditions/arteriosclerosis-atherosclerosis/symptoms-causes/syc-20350569,"If you have atherosclerosis in your heart arteries, you may have symptoms, such as chest pain or pressure (angina)."
1576022189-4097,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Gout,https://www.mayoclinic.org/diseases-conditions/gout/symptoms-causes/syc-20372897,"Intense joint pain. Gout usually affects the large joint of your big toe, but it can occur in any joint. Other commonly affected joints include the ankles, knees, elbows, wrists and fingers. The pain is likely to be most severe within the first four to 12 hours after it begins."
1576022254-4293,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Anorexia nervosa,https://www.mayoclinic.org/diseases-conditions/anorexia-nervosa/symptoms-causes/syc-20353591,Insomnia
1576022471-4868,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Alcohol use disorder,https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/symptoms-causes/syc-20369243,"Spending a lot of time drinking, getting alcohol or recovering from alcohol use"
1576022191-4107,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Osteoarthritis,https://www.mayoclinic.org/diseases-conditions/osteoarthritis/symptoms-causes/syc-20351925,Swelling. This might be caused by soft tissue inflammation around the joint.
1576022388-4684,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Churg-Strauss syndrome,https://www.mayoclinic.org/diseases-conditions/churg-strauss-syndrome/symptoms-causes/syc-20353760,"Weakness, fatigue or a general feeling of being unwell"
1576022263-4328,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Broken ankle,https://www.mayoclinic.org/diseases-conditions/broken-ankle/symptoms-causes/syc-20450025,Difficulty in walking or bearing weight
1576022352-4566,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Alpha-gal syndrome,https://www.mayoclinic.org/diseases-conditions/alpha-gal-syndrome/symptoms-causes/syc-20428608,"Hives, itching, or itchy, scaly skin (eczema)"
1576022257-4308,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Ankylosing spondylitis,https://www.mayoclinic.org/diseases-conditions/ankylosing-spondylitis/symptoms-causes/syc-20354808,The vertebrae in your lower back
1576022309-4440,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Anemia,https://www.mayoclinic.org/diseases-conditions/anemia/symptoms-causes/syc-20351360,Dizziness or lightheadedness
1576022471-4871,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Alcohol use disorder,https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/symptoms-causes/syc-20369243,"Continuing to drink alcohol even though you know it's causing physical, social or interpersonal problems"
1576022352-4568,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Alpha-gal syndrome,https://www.mayoclinic.org/diseases-conditions/alpha-gal-syndrome/symptoms-causes/syc-20428608,Wheezing or shortness of breath
1576022254-4303,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Anorexia nervosa,https://www.mayoclinic.org/diseases-conditions/anorexia-nervosa/symptoms-causes/syc-20353591,Low blood pressure
1576022254-4292,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Anorexia nervosa,https://www.mayoclinic.org/diseases-conditions/anorexia-nervosa/symptoms-causes/syc-20353591,Fatigue
1576022172-4062,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Atrial septal defect,https://www.mayoclinic.org/diseases-conditions/atrial-septal-defect/symptoms-causes/syc-20369715,Fatigue
1576022386-4676,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Hay fever,https://www.mayoclinic.org/diseases-conditions/hay-fever/symptoms-causes/syc-20373039,Fatigue
1576022131-3956,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Atypical depression,https://www.mayoclinic.org/diseases-conditions/atypical-depression/symptoms-causes/syc-20369747,Increased appetite or weight gain
1576022531-5033,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Absence seizure,https://www.mayoclinic.org/diseases-conditions/petit-mal-seizure/symptoms-causes/syc-20359683,Finger rubbing
1576022168-4053,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Asthma,https://www.mayoclinic.org/diseases-conditions/asthma/symptoms-causes/syc-20369653,Shortness of breath
1576022158-4031,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Astigmatism,https://www.mayoclinic.org/diseases-conditions/astigmatism/symptoms-causes/syc-20353835,Eyestrain or discomfort
1576022489-4929,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Guillain-Barré syndrome,https://www.mayoclinic.org/diseases-conditions/guillain-barre-syndrome/symptoms-causes/syc-20362793,Weakness in your legs that spreads to your upper body
1576022348-4555,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Dry socket,https://www.mayoclinic.org/diseases-conditions/dry-socket/symptoms-causes/syc-20354376,"Pain that radiates from the socket to your ear, eye, temple or neck on the same side of your face as the extraction"
1576022162-4042,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Exercise-induced asthma,https://www.mayoclinic.org/diseases-conditions/exercise-induced-asthma/symptoms-causes/syc-20372300,Chest tightness or pain
1576022463-4829,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Addison's disease,https://www.mayoclinic.org/diseases-conditions/addisons-disease/symptoms-causes/syc-20350293,Darkening of your skin (hyperpigmentation)
1576022475-4882,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],ARDS,https://www.mayoclinic.org/diseases-conditions/ards/symptoms-causes/syc-20355576,Confusion and extreme tiredness
1576022228-4203,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Aortic valve disease,https://www.mayoclinic.org/diseases-conditions/aortic-valve-disease/symptoms-causes/syc-20355117,Not gaining enough weight (mainly in children with aortic valve stenosis)
1576022234-4228,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Anxiety disorders,https://www.mayoclinic.org/diseases-conditions/anxiety/symptoms-causes/syc-20350961,Experiencing gastrointestinal (GI) problems
1576022221-4178,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Aphasia,https://www.mayoclinic.org/diseases-conditions/aphasia/symptoms-causes/syc-20369518,Write sentences that don't make sense
1576022485-4925,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Acute kidney failure,https://www.mayoclinic.org/diseases-conditions/kidney-failure/symptoms-causes/syc-20369048,Irregular heartbeat
1576022211-4152,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Viral hemorrhagic fevers,https://www.mayoclinic.org/diseases-conditions/viral-hemorrhagic-fevers/symptoms-causes/syc-20351260,Ebola
1576022164-4046,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Childhood asthma,https://www.mayoclinic.org/diseases-conditions/childhood-asthma/symptoms-causes/syc-20351507,"Frequent coughing that worsens when your child has a viral infection, occurs while your child is asleep or is triggered by exercise or cold air"
1576022150-4014,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Atelectasis,https://www.mayoclinic.org/diseases-conditions/atelectasis/symptoms-causes/syc-20369684,"Rapid, shallow breathing"
1576022211-4155,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Viral hemorrhagic fevers,https://www.mayoclinic.org/diseases-conditions/viral-hemorrhagic-fevers/symptoms-causes/syc-20351260,Yellow fever
1576022483-4913,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Acute liver failure,https://www.mayoclinic.org/diseases-conditions/acute-liver-failure/symptoms-causes/syc-20352863,Nausea
1576022125-3939,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Autoimmune hepatitis,https://www.mayoclinic.org/diseases-conditions/autoimmune-hepatitis/symptoms-causes/syc-20352153,Joint pains
1576022515-4997,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Infant reflux,https://www.mayoclinic.org/diseases-conditions/infant-acid-reflux/symptoms-causes/syc-20351408,Spits up green or yellow fluid
1576022505-4961,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Acromegaly,https://www.mayoclinic.org/diseases-conditions/acromegaly/symptoms-causes/syc-20351222,Small outgrowths of skin tissue (skin tags)
1576022289-4370,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Aneurysms,https://www.mayoclinic.org/diseases-conditions/aneurysms/symptoms-causes/syc-20354633,The section of aorta that passes through your abdomen (abdominal aortic aneurysm)
1576022485-4926,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Acute kidney failure,https://www.mayoclinic.org/diseases-conditions/kidney-failure/symptoms-causes/syc-20369048,Chest pain or pressure
1576022477-4883,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Radiation sickness,https://www.mayoclinic.org/diseases-conditions/radiation-sickness/symptoms-causes/syc-20377058,Nausea and vomiting
1576022369-4625,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Nickel allergy,https://www.mayoclinic.org/diseases-conditions/nickel-allergy/symptoms-causes/syc-20351529,Rash or bumps on the skin
1576022359-4587,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Soy allergy,https://www.mayoclinic.org/diseases-conditions/soy-allergy/symptoms-causes/syc-20377802,Tingling in the mouth
1576022469-4855,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Drug addiction (substance use disorder),https://www.mayoclinic.org/diseases-conditions/drug-addiction/symptoms-causes/syc-20365112,"Over time, needing more of the drug to get the same effect"
1576022463-4838,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Addison's disease,https://www.mayoclinic.org/diseases-conditions/addisons-disease/symptoms-causes/syc-20350293,Body hair loss or sexual dysfunction in women
1576022528-5027,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Separated shoulder,https://www.mayoclinic.org/diseases-conditions/separated-shoulder/symptoms-causes/syc-20354049,Limited shoulder movement
1576022446-4784,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Childhood schizophrenia,https://www.mayoclinic.org/diseases-conditions/childhood-schizophrenia/symptoms-causes/syc-20354483,Language delays
1576022459-4822,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Adenomyosis,https://www.mayoclinic.org/diseases-conditions/adenomyosis/symptoms-causes/syc-20369138,Chronic pelvic pain
1576022384-4665,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Allergies,https://www.mayoclinic.org/diseases-conditions/allergies/symptoms-causes/syc-20351497,Sneezing
1576022465-4839,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Nicotine dependence,https://www.mayoclinic.org/diseases-conditions/nicotine-dependence/symptoms-causes/syc-20351584,"You can't stop smoking. You've made one or more serious, but unsuccessful, attempts to stop."
1576022533-5036,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Bartholin's cyst,https://www.mayoclinic.org/diseases-conditions/bartholin-cyst/symptoms-causes/syc-20369976,Discomfort while walking or sitting
1576022135-3972,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Vaginal atrophy,https://www.mayoclinic.org/diseases-conditions/vaginal-atrophy/symptoms-causes/syc-20352288,Burning with urination
1576022396-4711,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Alcohol poisoning,https://www.mayoclinic.org/diseases-conditions/alcohol-poisoning/symptoms-causes/syc-20354386,Irregular breathing (a gap of more than 10 seconds between breaths)
1576022320-4471,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Anal fissure,https://www.mayoclinic.org/diseases-conditions/anal-fissure/symptoms-causes/syc-20351424,A small lump or skin tag on the skin near the anal fissure
1576022537-5045,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Abdominal aortic aneurysm,https://www.mayoclinic.org/diseases-conditions/abdominal-aortic-aneurysm/symptoms-causes/syc-20350688,A pulse near your bellybutton
1576022481-4901,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Acute lymphocytic leukemia,https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/symptoms-causes/syc-20369077,Bleeding from the gums
1576022123-3930,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Autoimmune pancreatitis,https://www.mayoclinic.org/diseases-conditions/autoimmune-pancreatitis/symptoms-causes/syc-20369800,Weakness or extreme tiredness
1576022363-4608,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Pet allergy,https://www.mayoclinic.org/diseases-conditions/pet-allergy/symptoms-causes/syc-20352192,"In a child, frequent upward rubbing of the nose"
1576022121-3919,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Autonomic neuropathy,https://www.mayoclinic.org/diseases-conditions/autonomic-neuropathy/symptoms-causes/syc-20369829,"Sexual difficulties, including problems achieving or maintaining an erection (erectile dysfunction) or ejaculation problems in men. In women, problems include vaginal dryness, low libido and difficulty reaching orgasm."
1576022295-4383,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Brain aneurysm,https://www.mayoclinic.org/diseases-conditions/brain-aneurysm/symptoms-causes/syc-20361483,Sensitivity to light
1576022152-4021,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Ataxia,https://www.mayoclinic.org/diseases-conditions/ataxia/symptoms-causes/syc-20355652,Involuntary back-and-forth eye movements (nystagmus)
1576022234-4221,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Anxiety disorders,https://www.mayoclinic.org/diseases-conditions/anxiety/symptoms-causes/syc-20350961,Having an increased heart rate
1576022181-4084,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Reactive arthritis,https://www.mayoclinic.org/diseases-conditions/reactive-arthritis/symptoms-causes/syc-20354838,Low back pain. The pain tends to be worse at night or in the morning.
1576022254-4298,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Anorexia nervosa,https://www.mayoclinic.org/diseases-conditions/anorexia-nervosa/symptoms-causes/syc-20353591,Absence of menstruation
1576022522-5015,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Achilles tendinitis,https://www.mayoclinic.org/diseases-conditions/achilles-tendinitis/symptoms-causes/syc-20369020,Age. Achilles tendinitis is more common as you age.
1576022254-4302,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Anorexia nervosa,https://www.mayoclinic.org/diseases-conditions/anorexia-nervosa/symptoms-causes/syc-20353591,Irregular heart rhythms
1576022170-4059,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Aspergillosis,https://www.mayoclinic.org/diseases-conditions/aspergillosis/symptoms-causes/syc-20369619,A cough that may bring up blood or plugs of mucus
1576022160-4038,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Occupational asthma,https://www.mayoclinic.org/diseases-conditions/occupational-asthma/symptoms-causes/syc-20375772,Chest tightness
1576022240-4251,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Antisocial personality disorder,https://www.mayoclinic.org/diseases-conditions/antisocial-personality-disorder/symptoms-causes/syc-20353928,Persistent lying or deceit to exploit others
1576022454-4811,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Adult attention-deficit/hyperactivity disorder (ADHD),https://www.mayoclinic.org/diseases-conditions/adult-adhd/symptoms-causes/syc-20350878,Poor planning
1576022301-4404,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Sickle cell anemia,https://www.mayoclinic.org/diseases-conditions/sickle-cell-anemia/symptoms-causes/syc-20355876,"Frequent infections. Sickle cells can damage an organ that fights infection (spleen), leaving you more vulnerable to infections. Doctors commonly give infants and children with sickle cell anemia vaccinations and antibiotics to prevent potentially life-threatening infections, such as pneumonia."
1576022328-4498,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Amniotic fluid embolism,https://www.mayoclinic.org/diseases-conditions/amniotic-fluid-embolism/symptoms-causes/syc-20369324,Life-threatening problems with blood clotting (disseminated intravascular coagulopathy)
1576022320-4469,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Anal fissure,https://www.mayoclinic.org/diseases-conditions/anal-fissure/symptoms-causes/syc-20351424,Bright red blood on the stool or toilet paper after a bowel movement
1576022435-4760,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Adult Still's disease,https://www.mayoclinic.org/diseases-conditions/adult-stills-disease/symptoms-causes/syc-20351907,"Achy and swollen joints. Your joints — especially your knees and wrists — might be stiff, painful and inflamed. Ankles, elbows, hands and shoulders might also ache. The joint discomfort usually lasts at least two weeks."
1576022187-4093,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Septic arthritis,https://www.mayoclinic.org/diseases-conditions/bone-and-joint-infections/symptoms-causes/syc-20350755,"Taking medications for rheumatoid arthritis. People with rheumatoid arthritis have a further increase in risk because of medications they take that can suppress the immune system, making infections more likely to occur. Diagnosing septic arthritis in people with rheumatoid arthritis is difficult because many of the signs and symptoms are similar."
1576022226-4188,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Aortic valve regurgitation,https://www.mayoclinic.org/diseases-conditions/aortic-valve-regurgitation/symptoms-causes/syc-20353129,Shortness of breath with exercise or when you lie down
1576022121-3918,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Autonomic neuropathy,https://www.mayoclinic.org/diseases-conditions/autonomic-neuropathy/symptoms-causes/syc-20369829,"Urinary problems, such as difficulty starting urination, incontinence, difficulty sensing a full bladder and inability to completely empty the bladder, which can lead to urinary tract infections."
1576022311-4444,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Ehrlichiosis,https://www.mayoclinic.org/diseases-conditions/ehrlichiosis/symptoms-causes/syc-20372142,Mild fever
1576022435-4757,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Adult Still's disease,https://www.mayoclinic.org/diseases-conditions/adult-stills-disease/symptoms-causes/syc-20351907,"Fever. You might have a daily fever of at least 102 F (38.9 C) for a week or longer. The fever usually peaks in the late afternoon or early evening. You might have two fever spikes daily, with your temperature returning to normal in between."
1576022481-4903,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Acute lymphocytic leukemia,https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/symptoms-causes/syc-20369077,Fever
1576022531-5030,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Absence seizure,https://www.mayoclinic.org/diseases-conditions/petit-mal-seizure/symptoms-causes/syc-20359683,Lip smacking
1576022375-4643,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Latex allergy,https://www.mayoclinic.org/diseases-conditions/latex-allergy/symptoms-causes/syc-20374287,Skin redness
1576022382-4655,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Dust mite allergy,https://www.mayoclinic.org/diseases-conditions/dust-mites/symptoms-causes/syc-20352173,Sneezing
1576022350-4565,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Amyotrophic lateral sclerosis (ALS),https://www.mayoclinic.org/diseases-conditions/amyotrophic-lateral-sclerosis/symptoms-causes/syc-20354022,Cognitive and behavioral changes
1576022257-4307,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Ankylosing spondylitis,https://www.mayoclinic.org/diseases-conditions/ankylosing-spondylitis/symptoms-causes/syc-20354808,The joint between the base of your spine and your pelvis
1576022150-4013,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Atelectasis,https://www.mayoclinic.org/diseases-conditions/atelectasis/symptoms-causes/syc-20369684,Difficulty breathing
1576022116-3912,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Bird flu (avian influenza),https://www.mayoclinic.org/diseases-conditions/bird-flu/symptoms-causes/syc-20368455,Headache
1576022386-4672,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Hay fever,https://www.mayoclinic.org/diseases-conditions/hay-fever/symptoms-causes/syc-20373039,Cough
1576022140-3985,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Atrioventricular canal defect,https://www.mayoclinic.org/diseases-conditions/atrioventricular-canal-defect/symptoms-causes/syc-20361492,Difficulty breathing or rapid breathing
1576022259-4314,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Tongue-tie (ankyloglossia),https://www.mayoclinic.org/diseases-conditions/tongue-tie/symptoms-causes/syc-20378452,A tongue that appears notched or heart shaped when stuck out
1576022265-4332,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Anhidrosis,https://www.mayoclinic.org/diseases-conditions/anhidrosis/symptoms-causes/syc-20369400,Flushing
