Disease,Diagnosis_treatment
Psoriatic arthritis,"During the exam, your doctor may:
No single test can confirm a diagnosis of psoriatic arthritis. But some types of tests can rule out other causes of joint pain, such as rheumatoid arthritis or gout.
No cure exists for psoriatic arthritis, so treatment focuses on controlling inflammation in your affected joints to prevent joint pain and disability.
Drugs used to treat psoriatic arthritis include: 
NSAIDs. Nonsteroidal anti-inflammatory drugs (NSAIDs) can relieve pain and reduce inflammation. Over-the-counter <abbr title=""nonsteroidal anti-inflammatory drugs"">NSAIDs</abbr> include ibuprofen (Advil, Motrin IB, others) and naproxen sodium (Aleve). Stronger <abbr title=""nonsteroidal anti-inflammatory drugs"">NSAIDs</abbr> are available by prescription.
Side effects may include stomach irritation, heart problems, and liver and kidney damage.
Disease-modifying antirheumatic drugs (DMARDs). These drugs can slow the progression of psoriatic arthritis and save the joints and other tissues from permanent damage.
Common <abbr title=""disease-modifying antirheumatic drugs"">DMARDs</abbr> include methotrexate (Trexall, Otrexup, others), leflunomide (Arava) and sulfasalazine (Azulfidine). Side effects vary but may include liver damage, bone marrow suppression and severe lung infections.
Immunosuppressants. These medications act to tame your immune system, which is out of control in psoriatic arthritis.
Examples include azathioprine (Imuran, Azasan) and cyclosporine (Gengraf, Neoral, Sandimmune). These medications can increase your susceptibility to infection.
Biologic agents. Also known as biologic response modifiers, this newer class of <abbr title=""disease-modifying antirheumatic drugs"">DMARDs</abbr> includes abatacept (Orencia), adalimumab (Humira), certolizumab (Cimzia), etanercept (Enbrel), golimumab (Simponi), infliximab (Remicade), ixekizumab (Taltz), secukinumab (Cosentyx), tofacitinib (Xeljanz) and ustekinumab (Stelara).
These medications target specific parts of the immune system that trigger inflammation and lead to joint damage. These drugs can increase the risk of infections. Higher doses of tofacitinib can increase the risk of blood clots in the lungs. Biologic agents can be used alone or combined with <abbr title=""disease-modifying antirheumatic drugs"">DMARDs</abbr>, such as methotrexate.
 <a id=""phmaincontent_0_phleftchannel_0_SectionRepeater_phclinicaltrials_0_7_ctLink_7"" href=""https://www.mayo.edu/research/clinical-trials/search-results?studySiteStatusesGrouped=Open/Status Unknown&amp;pocId=CON-20197648"">Explore Mayo Clinic studies</a> testing new treatments, interventions and tests as a means to prevent, detect, treat or manage this disease. 
Protect your joints. Changing the way you carry out everyday tasks can make a tremendous difference in how you feel.
For example, you can avoid straining your finger joints by using gadgets such as jar openers to twist the lids from jars, by lifting heavy pans or other objects with both hands, and by pushing doors open with your whole body instead of just your fingers.
Maintain a healthy weight. Maintaining a healthy weight places less strain on your joints, leading to reduced pain and increased energy and mobility.
Losing weight if needed can also help your medications work better. Some psoriatic arthritis medications are less effective in people who have a body mass index of 25.0 to 29.9 (overweight).
The best way to increase nutrients while limiting calories is to eat more plant-based foods — fruits, vegetables and whole grains.
Pace yourself. Battling pain and inflammation can leave you feeling exhausted. In addition, some arthritis medications can cause fatigue.
The key isn't to stop being active entirely, but to rest before you become too tired. Divide exercise or work activities into short segments. Find time to relax several times throughout the day.
Psoriatic arthritis can be particularly discouraging because the emotional pain that psoriasis can cause is compounded by joint pain and, in some cases, disability.
The support of friends and family can make a tremendous difference when you're facing the physical and psychological challenges of psoriatic arthritis. For some people, support groups can offer the same benefits.
A counselor or therapist can help you devise coping strategies to reduce your stress levels. The chemicals your body releases when you're under stress can aggravate both psoriasis and psoriatic arthritis.
You're likely to first discuss your signs and symptoms with your family doctor. He or she may refer you to a doctor specializing in the treatment of arthritis and related disorders (rheumatologist).
Before your appointment, you may want to write a list of answers to the following questions:
You may want to bring a friend or a family member with you to your appointment. It's hard to remember everything about a complicated condition, and another person may remember information that you miss.
Your doctor might ask some of the following questions:"
Arteriosclerosis / atherosclerosis,"During a physical exam, your doctor may find signs of narrowed, enlarged or hardened arteries, including:
Depending on the results of the physical exam, your doctor may suggest one or more diagnostic tests, including:
Blood tests. Lab tests can detect increased levels of cholesterol and blood sugar that may increase the risk of atherosclerosis. You'll need to go without eating or drinking anything but water for nine to 12 hours before your blood test.
Your doctor should tell you ahead of time if this test will be performed during your visit.
Ankle-brachial index. This test can tell if you have atherosclerosis in the arteries in your legs and feet.
Your doctor may compare the blood pressure in your ankle with the blood pressure in your arm. This is known as the ankle-brachial index. An abnormal difference may indicate peripheral vascular disease, which is usually caused by atherosclerosis.
Stress test. A stress test, also called an exercise stress test, is used to gather information about how well your heart works during physical activity.
Because exercise makes your heart pump harder and faster than it does during most daily activities, an exercise stress test can reveal problems within your heart that might not be noticeable otherwise.
An exercise stress test usually involves walking on a treadmill or riding a stationary bike while your heart rhythm, blood pressure and breathing are monitored.
In some types of stress tests, pictures will be taken of your heart, such as during a stress echocardiogram (ultrasound) or nuclear stress test. If you're unable to exercise, you may receive a medication that mimics the effect of exercise on your heart.
Cardiac catheterization and angiogram. This test can show if your coronary arteries are narrowed or blocked.
A liquid dye is injected into the arteries of your heart through a long, thin tube (catheter) that's fed through an artery, usually in your leg, to the arteries in your heart. As the dye fills your arteries, the arteries become visible on X-ray, revealing areas of blockage.
Lifestyle changes, such as eating a healthy diet and exercising, are often the most appropriate treatment for atherosclerosis. Sometimes, medication or surgical procedures may be recommended as well.
Various drugs can slow — or even reverse — the effects of atherosclerosis. Here are some common choices:
Cholesterol medications. Aggressively lowering your low-density lipoprotein (LDL) cholesterol, the ""bad"" cholesterol, can slow, stop or even reverse the buildup of fatty deposits in your arteries. Boosting your high-density lipoprotein (HDL) cholesterol, the ""good"" cholesterol, may help, too.
Your doctor can choose from a range of cholesterol medications, including drugs known as statins and fibrates. In addition to lowering cholesterol, statins have additional effects that help stabilize the lining of your heart arteries and prevent atherosclerosis.
Sometimes more aggressive treatment is needed to treat atherosclerosis. If you have severe symptoms or a blockage that threatens muscle or skin tissue survival, you may be a candidate for one of the following surgical procedures:
Angioplasty and stent placement. In this procedure, your doctor inserts a long, thin tube (catheter) into the blocked or narrowed part of your artery. A second catheter with a deflated balloon on its tip is then passed through the catheter to the narrowed area.
The balloon is then inflated, compressing the deposits against your artery walls. A mesh tube (stent) is usually left in the artery to help keep the artery open.
 <a id=""phmaincontent_0_phleftchannel_0_SectionRepeater_phclinicaltrials_0_5_ctLink_5"" href=""https://www.mayo.edu/research/clinical-trials/search-results?studySiteStatusesGrouped=Open/Status Unknown&amp;pocId=CON-20155124"">Explore Mayo Clinic studies</a> testing new treatments, interventions and tests as a means to prevent, detect, treat or manage this disease. 
Lifestyle changes can help you prevent or slow the progression of atherosclerosis.
Exercise most days of the week. Regular exercise can condition your muscles to use oxygen more efficiently.
Physical activity can also improve circulation and promote development of new blood vessels that form a natural bypass around obstructions (collateral vessels). Exercise helps lower blood pressure and reduces your risk of diabetes.
Aim to exercise at least 30 minutes most days of the week. If you can't fit it all into one session, try breaking it up into 10-minute intervals.
You can take the stairs instead of the elevator, walk around the block during your lunch hour, or do some situps or pushups while watching television.
Eat healthy foods. A heart-healthy diet based on fruits, vegetables and whole grains — and low in refined carbohydrates, sugars, saturated fat and sodium — can help you control your weight, blood pressure, cholesterol and blood sugar.
Try substituting whole-grain bread in place of white bread; grabbing an apple, a banana or carrot sticks as a snack; and reading nutrition labels as a guide to controlling the amount of salt and fat you eat. Use monounsaturated fats, such as olive oil, and reduce or eliminate sugar and sugar substitutes.
Lose extra pounds and maintain a healthy weight. If you're overweight, losing as few as 5 to 10 pounds (about 2.3 to 4.5 kilograms) can help reduce your risk of high blood pressure and high cholesterol, two of the major risk factors for developing atherosclerosis.
Losing weight helps reduce your risk of diabetes or control your condition if you already have diabetes.
If you have high cholesterol, high blood pressure, diabetes or another chronic disease, work with your doctor to manage the condition and promote overall health.
It's thought that some foods and herbal supplements can help reduce your high cholesterol level and high blood pressure, two major risk factors for developing atherosclerosis. With your doctor's OK, you might consider these supplements and products:
Talk to your doctor before adding any of these supplements to your atherosclerosis treatment. Some supplements can interact with medications, causing harmful side effects.
You can also practice relaxation techniques, such as yoga or deep breathing, to help you relax and reduce your stress level. These practices can temporarily reduce your blood pressure, reducing your risk of developing atherosclerosis.
If you think you may have atherosclerosis or are worried about having atherosclerosis because of a strong family history of heart disease, make an appointment with your doctor to have your cholesterol level checked.
Here's some information to help you get ready for your appointment and know what to expect from your doctor.
Preparing a list of questions will help you make the most of your time with your doctor. For atherosclerosis, some basic questions to ask your doctor include:
Don't hesitate to ask any other questions you have.
Your doctor is likely to ask you a number of questions, including:
It's never too early to make healthy lifestyle changes, such as quitting smoking, eating healthy foods and becoming more physically active. These are primary lines of defense against atherosclerosis and its complications, including heart attack and stroke."
Mesenteric lymphadenitis,"To diagnosis your child's condition, your doctor will ask your child's medical history and perform an exam. Tests might include:
Mild, uncomplicated cases of mesenteric lymphadenitis and those caused by a virus usually go away on their own, although full recovery can take four weeks or more.
For treatment of fever or pain, consider giving your child infants' or children's over-the-counter fever and pain medications such as acetaminophen (Tylenol, others) or ibuprofen (Advil, Motrin, others) as a safer alternative to aspirin.
Use caution when giving aspirin to children or teenagers. Though aspirin is approved for use in children older than age 3, children and teenagers recovering from chickenpox or flu-like symptoms should never take aspirin. This is because aspirin has been linked to Reye's syndrome, a rare but potentially life-threatening condition, in such children.
Antibiotics might be prescribed for a moderate to severe bacterial infection.
For the pain and fever of mesenteric lymphadenitis, have your child:
If your child has signs and symptoms common to mesenteric lymphadenitis, make an appointment with your family doctor or a pediatrician. Here's some information to help you get ready for your appointment.
Make a list of:
For possible mesenteric lymphadenitis, some questions to ask include:
Your child's doctor might ask:"
Broken ankle,"During the physical exam, your doctor will check for points of tenderness in your ankle. The precise location of your pain can help determine its cause.
They may move your foot into different positions, to check your range of motion. You may be asked to walk for a short distance so that your doctor can examine your gait.
If your signs and symptoms suggest a break or fracture, your doctor may suggest one or more of the following imaging tests.
Treatments for a broken ankle will vary, depending on which bone has been broken and the severity of the injury.
Your doctor may recommend an over-the-counter pain reliever, such as acetaminophen (Tylenol, others).
After your bone has healed, you'll probably need to loosen up stiff muscles and ligaments in your ankles and feet. A physical therapist can teach you exercises to improve your flexibility and strength.
 <a id=""phmaincontent_0_phleftchannel_0_SectionRepeater_phclinicaltrials_0_7_ctLink_7"" href=""https://www.mayo.edu/research/clinical-trials/search-results?studySiteStatusesGrouped=Open/Status Unknown&amp;pocId=CON-20449482"">Explore Mayo Clinic studies</a> testing new treatments, interventions and tests as a means to prevent, detect, treat or manage this disease. 
You will likely initially seek treatment for a broken ankle in an emergency room or urgent care clinic. If the pieces of broken bone aren't lined up properly for healing, you may be referred to a doctor specializing in orthopedic surgery.
You may want to write a list that includes:
For a broken ankle, basic questions to ask your doctor include:
Don't hesitate to ask any other questions you have.
Your doctor may ask some of the following questions:
If your injury isn't severe enough to warrant a trip to the emergency room, here are some things you can do at home to care for your injury until you can see your doctor:"
Amyloidosis,"Amyloidosis is often overlooked because the signs and symptoms can mimic those of more-common diseases. Diagnosis as early as possible can help prevent further organ damage. Precise diagnosis is important because treatment varies greatly, depending on your specific condition.
Your doctor is likely to start with a thorough medical history and physical exam. After that, you may have:
There's no cure for amyloidosis. But treatment can help manage signs and symptoms and limit further production of amyloid protein. Specific treatments depend on the type of amyloidosis and target the source of the amyloid production.
AL amyloidosis. Many of the same chemotherapy medications that treat multiple myeloma are used in AL amyloidosis to stop the growth of abnormal cells that produce amyloid.
Autologous blood stem cell transplant (ASCT) offers an additional treatment option in some cases. This procedure involves collecting your own stem cells from your blood and storing them for a short time while you have high-dose chemotherapy. The stem cells are then returned to your body via a vein.
ASCT is most appropriate for people whose disease isn't advanced and whose heart isn't greatly affected.
To manage ongoing signs and symptoms of amyloidosis, your doctor also may recommend:
 <a id=""phmaincontent_0_phleftchannel_0_SectionRepeater_phclinicaltrials_0_4_ctLink_4"" href=""https://www.mayo.edu/research/clinical-trials/search-results?studySiteStatusesGrouped=Open/Status Unknown&amp;pocId=CON-20310627"">Explore Mayo Clinic studies</a> testing new treatments, interventions and tests as a means to prevent, detect, treat or manage this disease. 
These tips can help you live with amyloidosis:
A diagnosis of amyloidosis can be extremely challenging. Here are some suggestions that may make dealing with amyloidosis easier:
You may be referred to a doctor who specializes in blood disorders (hematologist).
In addition to the questions that you've prepared to ask your doctor, don't hesitate to ask other questions during your appointment.
Your doctor is likely to ask you a number of questions. Being ready to answer them may provide time to go over points you want to spend more time on. You may be asked:"
Achilles tendinitis,"During the physical exam, your doctor will gently press on the affected area to determine the location of pain, tenderness or swelling. He or she will also evaluate the flexibility, alignment, range of motion and reflexes of your foot and ankle.
Your doctor may order one or more of the following tests to assess your condition:
Tendinitis usually responds well to self-care measures. But if your signs and symptoms are severe or persistent, your doctor might suggest other treatment options.
If over-the-counter pain medications — such as ibuprofen (Advil, Motrin IB, others) or naproxen (Aleve) — aren't enough, your doctor might prescribe stronger medications to reduce inflammation and relieve pain.
A physical therapist might suggest some of the following treatment options: 
Exercises. Therapists often prescribe specific stretching and strengthening exercises to promote healing and strengthening of the Achilles tendon and its supporting structures.
A special type of strengthening called ""eccentric"" strengthening, involving a slow let down of a weight after raising it, has been found to be especially helpful for persistent Achilles problems.
If several months of more-conservative treatments don't work or if the tendon has torn, your doctor may suggest surgery to repair your Achilles tendon.
Self-care strategies include the following steps, often known by the acronym R.I.C.E.:
You'll likely first bring your symptoms to the attention of your family doctor. He or she might refer you to a doctor specializing in sports medicine or physical and rehabilitative medicine (physiatrist). If your Achilles tendon has ruptured, you may need to see an orthopedic surgeon.
Before your appointment, you may want to write a list of answers to the following questions:
Be prepared to answer the following questions regarding your symptoms and factors that may be contributing to your condition:"
Shellfish allergy,"Your doctor will ask about your symptoms and may perform a physical exam to find or rule out other medical problems. He or she may also recommend one or both of the following tests:
A history of allergic reactions shortly after exposure to shellfish can be a sign of a shellfish allergy, but allergy testing is the only sure way to tell what's causing your symptoms and to rule out other possibilities, such as food poisoning. Medically supervised food challenges can be performed if any uncertainty remains about the diagnosis.
The only sure way to prevent an allergic reaction to shellfish is to avoid shellfish. But despite your best efforts, you may come into contact with shellfish.
Your doctor may instruct you to treat a mild allergic reaction to shellfish with medications such as antihistamines to reduce signs and symptoms, such as a rash and itchiness.
If you have a severe allergic reaction to shellfish (anaphylaxis), you'll likely need an emergency injection of epinephrine (adrenaline). If you're at risk of having a severe reaction, carry injectable epinephrine (EpiPen, Adrenaclick, others) with you at all times.
If you're at risk for anaphylaxis to shellfish, your doctor may instruct you to administer epinephrine even at the first sign of an allergic reaction. After you use epinephrine, seek emergency medical care, even if you've started to feel better.
 <a id=""phmaincontent_0_phleftchannel_0_SectionRepeater_phclinicaltrials_0_3_ctLink_3"" href=""https://www.mayo.edu/research/clinical-trials/search-results?studySiteStatusesGrouped=Open/Status Unknown&amp;pocId=CON-20377486"">Explore Mayo Clinic studies</a> testing new treatments, interventions and tests as a means to prevent, detect, treat or manage this disease. 
You're likely to start by seeing your family doctor or a general practitioner. Or you may be referred immediately to an allergy specialist.
Prepare for your appointment by writing down:
Questions related to shellfish allergy include:
Don't hesitate to ask other questions, as well.
Your doctor will likely have questions for you, such as:
Avoid eating any type of shellfish before your appointment."
Milk allergy,"When food causes an allergic reaction, it isn't always easy to pinpoint what food is to blame. To evaluate whether you or your child has milk allergy, your doctor may:
He or she may also recommend one or both of the following tests:
If your examination and test results can't confirm milk allergy, your doctor might administer an oral challenge, in which you are fed different foods that may or may not contain milk in increasing amounts to see if you react to the ones that contain milk. It's a good idea to have allergy tests administered by an allergist who's been trained to manage serious reactions.
If your doctor suspects that your symptoms are caused by something other than a food allergy, you may need other tests to identify — or rule out — other medical problems.
The only way to prevent an allergic reaction is to avoid milk and milk proteins. This can be difficult because milk is a common ingredient in many foods. Also, some people with milk allergy can tolerate milk in some forms, such as milk that's heated in baked goods, or in some processed foods, such as yogurt. Talk to your doctor about what to avoid.
Despite your best efforts, if you or your child accidentally consumes milk, medications such as antihistamines may reduce a mild allergic reaction.
If you or your child has a serious allergic reaction (anaphylaxis), you may need an emergency injection of epinephrine (adrenaline) and a trip to the emergency room. If you're at risk of having a severe reaction, you or your child may need to carry injectable epinephrine (EpiPen, Adrenaclick, others) at all times. Have your doctor or pharmacist demonstrate how to use this device so that you're prepared for an emergency.
Having a serious allergy or being the parent of a child with a potentially life-threatening allergy can be stressful. Talking to others in similar situations can be helpful. Besides offering support and encouragement, they may also provide useful coping tips, such as how to deal effectively with school officials to ensure your child's medical needs are met. Ask your doctor if there are any support groups in your area, or contact the Asthma and Allergy Foundation of America.
You're likely to start by seeing your family doctor or your child's pediatrician. However, you may then be referred to a doctor who specializes in allergic disorders (allergist-immunologist).
Here's some information to help you get ready for your appointment and to know what to expect from your doctor.
Preparing a list of questions can help you make the most of your time with your doctor. For milk allergy, some basic questions to ask your doctor include:
Don't hesitate to ask any other questions you may have.
Your doctor is likely to ask you a number of questions, including:
If you're having mild allergy symptoms from eating something that contained milk, taking an antihistamine medication may lessen your discomfort. Watch for more-severe symptoms that might require medical attention. If you or your child has symptoms of anaphylaxis, seek emergency medical care."
Penicillin allergy,"A thorough exam and appropriate diagnostic tests are essential for an accurate diagnosis. A misdiagnosed penicillin allergy may result in the use of less-appropriate or more-expensive antibiotics.
Your doctor will conduct a physical examination, ask questions about your symptoms and order additional tests. You may be referred to an allergy specialist (allergist) for these tests. These may include the following.
With a skin test, the allergist or nurse administers a small amount of the suspect penicillin to your skin with a tiny needle. A positive reaction to a test will cause a red, itchy, raised bump.
A positive result indicates a high likelihood of penicillin allergy. A negative test result usually means you're not at high risk of an allergy to penicillin. But a negative result is more difficult to interpret because some kinds of drug reactions cannot be detected by skin tests.
If the diagnosis of a penicillin allergy is uncertain, a graded drug challenge may be recommended. With this procedure, you receive up to five doses of the suspect penicillin, starting with a small dose and increasing to the desired dose. If you reach the therapeutic dose with no reaction, then your doctor will conclude you aren't allergic to that type of penicillin. You will be able to take the drug as prescribed.
If you are allergic to one type of penicillin, your doctor may recommend a graded challenge with a type of penicillin or cephalosporin that's less likely — because of known chemical properties — to cause an allergic reaction. This would enable your doctor to identify an antibiotic that can be used safely.
During a drug challenge, your doctor provides careful supervision, and supportive care services are available to treat an adverse reaction.
Interventions for a penicillin allergy can be divided into two general strategies:
The following interventions may be used to treat the symptoms of an allergic reaction to penicillin:
If there are no other suitable antibiotic treatment options available, your doctor may recommend a treatment called drug desensitization that may enable you to take a course of penicillin to treat an infection. With this treatment, you receive a very small dose and then progressively larger doses every 15 to 30 minutes over the course of several hours or a few days. If you can reach the desired dosage with no reaction, then you can continue the treatment.
It's important to take the drug as directed to maintain your tolerance to it during the entire course of treatment. If you need penicillin in the future, you will need to repeat the desensitization treatment.
You're carefully monitored during the intervention, and supportive care is available to treat reactions. Desensitization is not always successful, and there is a risk of serious reactions.
Be prepared to answer the following questions. These details will be important in helping your doctor determine the cause of your symptoms.
You may want to take pictures of any condition, such as a rash or swelling, to show your doctor. These may help your doctor if symptoms have subsided by the time of your appointment."
Transient global amnesia,"Diagnosis of transient global amnesia rests on excluding more-serious conditions — stroke, seizure or head injury, for example — that can cause the same type of memory loss.
The process begins with a neurological exam, checking reflexes, muscle tone, muscle strength, sensory function, gait, posture, coordination and balance. The doctor may also ask questions to test thinking, judgment and memory.
The next step is testing to look for abnormalities in the brain's electrical activity and blood flow. Your doctor might order one or a combination of these tests:
No treatment is needed for transient global amnesia. It resolves on its own and has no known lasting effects.
Anyone who experiences sudden loss of memory for all events leading up to the present needs emergency medical care. Call 911 or your local emergency number immediately.
If a friend or family member develops these symptoms in your presence, go with him or her to the hospital. Because he or she doesn't remember recent events, you'll need to provide important information to the doctor.
In addition to the questions that you've prepared to ask your doctor, don't hesitate to ask questions as they occur to you during the appointment.
The doctor is likely to ask both you and the person experiencing amnesia a number of questions about symptoms and about the period leading up to the memory loss.
The doctor may ask your loved one:
To determine the extent of memory loss, the doctor may check your loved one's knowledge of general information — such as the name of the current president — and assess his or her ability to recall a random list of words.
The doctor may ask you:"
Amnesia,"To diagnose amnesia, a doctor will do a comprehensive evaluation to rule out other possible causes of memory loss, such as Alzheimer's disease, other forms of dementia, depression or a brain tumor.
The evaluation starts with a detailed medical history. Because the person with memory loss may not be able to provide thorough information, a family member, friend or another caregiver generally takes part in the interview as well.
The doctor will ask many questions to understand the memory loss. Issues that might be addressed include:
The physical examination may include a neurological exam to check reflexes, sensory function, balance, and other physiological aspects of the brain and nervous system.
The doctor will test the person's thinking, judgment, and recent and long-term memory. He or she will check the person's knowledge of general information — such as the name of the current president — as well as personal information and past events. The doctor may also ask the person to repeat a list of words.
The memory evaluation can help determine the extent of memory loss and provide insights about what kind of help the person may need.
The doctor may order:
Treatment for amnesia focuses on techniques and strategies to help make up for the memory problem, and addressing any underlying diseases causing the amnesia.
A person with amnesia may work with an occupational therapist to learn new information to replace what was lost, or to use intact memories as a basis for taking in new information.
Memory training may also include different strategies for organizing information so that it's easier to remember and for improving understanding of extended conversation.
Many people with amnesia find it helpful to use smart technology, such as a smartphone or a hand-held tablet device. With some training and practice, even people with severe amnesia can use these electronic organizers to help with day-to-day tasks. For example, smartphones can be programmed to remind them about important events or to take medications.
Low-tech memory aids include notebooks, wall calendars, pill minders, and photographs of people and places.
No medications are currently available for treating most types of amnesia.
Amnesia caused by Wernicke-Korsakoff syndrome involves a lack of thiamin. Treatment includes replacing this vitamin and providing proper nutrition. Although treatment, which also needs to include alcohol abstinence, can help prevent further damage, most people won't recover all of their lost memory.
Research may one day lead to new treatments for memory disorders. But the complexity of the brain processes involved makes it unlikely that a single medication will be able to resolve memory problems.
Living with amnesia can be frustrating for those with memory loss, and for their family and friends, too. People with more-severe forms of amnesia may require direct assistance from family, friends or professional caregivers.
It can be helpful to talk with others who understand what you're going through, and who may be able to provide advice or tips on living with amnesia. Ask your doctor if he or she knows of a support group in your area for people with amnesia and their loved ones.
If an underlying cause for the amnesia is identified, there are national organizations that can provide additional information or support for the individual and their families. Examples include:
You're likely to start by seeing your family doctor or a general practitioner. However, you may then be referred to a doctor who specializes in disorders of the brain and nervous system (neurologist).
It's a good idea to arrive at your appointment well-prepared. Here's some information to help you get ready for your appointment and to know what to expect from your doctor.
Preparing a list of questions can help you make the most of your time with your doctor, as well as ensure that you cover everything you want to ask. For amnesia, some basic questions to ask your doctor include:
In addition to the questions that you've prepared to ask your doctor, don't hesitate to ask questions during your appointment at any time that you don't understand something.
Your doctor is likely to ask you a number of questions, including:"
Pheochromocytoma,"Your doctor might order a number of tests.
Your doctor will likely order the following tests that measure levels of adrenaline, noradrenaline or byproducts of those hormones in your body:
If the results of laboratory tests indicate the possibility of a pheochromocytoma or paraganglioma, your doctor will order one or more imaging tests to locate a possible tumor. These tests may include:
A tumor in an adrenal gland might be found during imaging studies conducted for other reasons. In such cases, your doctor would order additional tests to determine the nature of the tumor.
Your doctor might recommend genetic tests to determine if a pheochromocytoma is related to an inherited disorder. Information about possible genetic factors can be important for a number of reasons:
Ask your doctor about genetic counseling services that can help you understand the benefits and implications of genetic testing.
The primary treatment for a pheochromocytoma is surgery to remove the tumor. Before you undergo surgery, your doctor will prescribe specific blood pressure medications that block the actions of the high-adrenaline hormones to lower the risk of developing dangerously high blood pressure during surgery.
You will likely take two drugs for seven to 10 days that help lower blood pressure before surgery. These drugs will either replace or be added to other blood pressure drugs you take.
Beta blockers cause your heart to beat more slowly and with less force. They also help keep blood vessels open and relaxed. In preparing for surgery a beta blocker is added several days after starting the alpha blocker.
Beta blockers include atenolol (Tenormin), metoprolol (Lopressor, Toprol-XL) and propranolol (Inderal, Innopran XL). Possible side effects include fatigue, upset stomach, headache, dizziness, constipation, diarrhea, irregular heartbeat, difficulty breathing and swelling in the limbs.
In most cases, the entire adrenal gland with a pheochromocytoma is removed with laparoscopic, or minimally invasive, surgery. Your surgeon will make a few small openings through which he or she inserts wandlike devices equipped with video cameras and small tools.
The remaining healthy adrenal gland carries out the functions normally performed by two, and blood pressure usually returns to normal.
In some unusual situations, such as when the other adrenal gland has been removed, surgery might remove only the tumor, sparing some healthy tissue.
If a tumor is cancerous (malignant), the effectiveness of surgery might rely on removing the tumor and all cancerous tissue. However, even if all of the cancerous tissue isn't removed, surgery might limit hormone production and provide some control of blood pressure.
As cancer is rare among cases of pheochromocytoma, the research about the best treatments is relatively limited. Treatments for malignant tumors and metastasized cancer related to a pheochromocytoma might include:
 <a id=""phmaincontent_0_phleftchannel_0_SectionRepeater_phclinicaltrials_0_10_ctLink_10"" href=""https://www.mayo.edu/research/clinical-trials/search-results?studySiteStatusesGrouped=Open/Status Unknown&amp;pocId=CON-20245736"">Explore Mayo Clinic studies</a> testing new treatments, interventions and tests as a means to prevent, detect, treat or manage this disease. 
You're likely to start by seeing your primary care provider. Then you might be referred to a doctor who specializes in hormonal disorders (endocrinologist).
Here's some information to help you get ready for your appointment.
When you make the appointment, ask if there's anything you need to do in advance, such as fasting before having a specific test. Make a list of:
Take a family member or friend along, if possible, to help you remember the information you get.
For a pheochromocytoma, questions to ask your doctor include:
Don't hesitate to ask other questions.
Your doctor is likely to ask you questions, including:"
Viral hemorrhagic fevers,"Diagnosing specific viral hemorrhagic fevers in the first few days of illness can be difficult because the initial signs and symptoms — high fever, muscle aches, headaches and extreme fatigue — are common to many other diseases.
To help with diagnosis, your doctor is likely to ask about your medical and travel history and any exposure to rodents or mosquitoes. Be sure to describe international trips in detail, including the countries you visited and the dates, as well as any contact you may have had with possible sources of infection.
Laboratory tests, usually using a sample of your blood, are needed to confirm a diagnosis. Because viral hemorrhagic fevers are particularly virulent and contagious, these tests are usually performed in specially designated laboratories using strict precautions.
While no specific treatment exists for most viral hemorrhagic fevers, the antiviral drug ribavirin (Rebetol, Virazole, others) may help shorten the course of some infections and prevent complications in some cases.
Supportive care is essential. To prevent dehydration, you may need fluids to help maintain your balance of electrolytes — minerals that are critical to nerve and muscle function.
Some people may benefit from kidney dialysis, an artificial way of removing wastes from your blood when your kidneys fail."
