Disease_Name,Drug_Name,General_Information,Side_Effects,Additional_Information,Mechanism_of_Action
Obstetrics/Gynecology (Womenâ€™s Health),Afinitor (everolimus),"General Information
Afinitor (everolimus), an inhibitor of mTOR (mammalian target of rapamycin), is an antineoplastic agent.
Afinitor is specifically approved for the treatment of postmenopausal women with advanced hormone receptor-positive, HER2-negative breast cancer (advanced HR+ BC) in combination with exemestane, after failure of treatment with letrozole or anastrozole.
Afinitor is supplied as a tablet for oral administration. The recommended dose of Afinitor for breast cancer is 10 mg, to be taken once daily, at the same time every day, either consistently with food or consistently without food.
Clinical Results
FDA Approval
The FDA approval of Afinitor for the treatment of advanced hormone receptor-positive, HER2-negative breast cancer was based on a randomized, double-blind, multicenter study in 724 postmenopausal women with estrogen receptor-positive, HER 2/neu-negative advanced breast cancer with recurrence or progression following prior therapy with letrozole or anastrozole. The subjects were randomized to Afinitor 10 mg/day plus exemestane 25 mg/day (n = 485) or to placebo plus exemestane 25 mg/day (n = 239). The primary endpoint was progression-free survival (PFS) evaluated by RECIST (Response Evaluation Criteria in Solid Tumors), based on investigator (local radiology) assessment. The median progression-free survival at the time of the final PFS analysis was 7.8 and 3.2 months in the Afinitor and placebo arms, respectively [p < 0.0001]. Objective response rate was 12.6% in the Afinitor plus exemestane arm vs. 1.7% in the placebo plus exemestane arm. There were 3 complete responses (0.6%) and 58 partial responses (12.0%) in the Afinitor plus exemestane arm. There were no complete responses and 4 partial responses (1.7%) in the placebo plus exemestane arm.
","Side Effects
Adverse events associated with the use of Afinitor for the treatment of advanced hormone receptor-positive, HER2-negative breast cancer may include, but are not limited to, the following:
stomatitis
infections
rash
fatigue
diarrhea
edema
abdominal pain
nausea
fever
asthenia
cough
headache
decreased appetite
","Additional Information
For additional information regarding Afinitor for advanced hormone receptor-positive, HER2-negative breast cancer, please visit the Afinitor web page.","Mechanism of Action
Everolimus is an inhibitor of mammalian target of rapamycin (mTOR), a serine-threonine kinase, downstream of the PI3K/AKT pathway. The mTOR pathway is dysregulated in several human cancers. Everolimus binds to an intracellular protein, FKBP-12, resulting in an inhibitory complex formation with mTOR complex 1 (mTORC1) and thus inhibition of mTOR kinase activity.
Literature References
Beaver JA, Park BH The BOLERO-2 trial: the addition of everolimus to exemestane in the treatment of postmenopausal hormone receptor-positive advanced breast cancer. Future Oncology 2012 Jun;8(6):651-7
Baselga J, Campone M, Piccart M, Burris HA 3rd, Rugo HS, Sahmoud T, Noguchi S, Gnant M, Pritchard KI, Lebrun F, Beck JT, Ito Y, Yardley D, Deleu I, Perez A, Bachelot T, Vittori L, Xu Z, Mukhopadhyay P, Lebwohl D, Hortobagyi GN Everolimus in postmenopausal hormone-receptor-positive advanced breast cancer. New England Journal of Medicine 2012 Feb 9;366(6):520-9.
"
Obstetrics/Gynecology (Womenâ€™s Health),Alesse (100 mcg levonorgestrel/20 mcg ethinyl estradiol tablets),"General Information
Alesse (100 mcg levonorgestrel/20 mcg ethinyl estradiol tablets), a new low-dose birth control pill, has been approved for marketing. New Alesse represents the lowest dose combination of levonorgestrel and ethinyl estradiol marketed in the United States. Alesse contains 100 mcg of the progestin levonorgestrel, the most widely prescribed contraceptive progestin, and 20 mcg of ethinyl estradiol, the estrogen most frequently used in oral contraceptives. More than 40 percent of oral contraceptive prescriptions worldwide contain levonorgestrel and ethinyl estradiol. Alesse, packaged in the Mini-Pack, is available in 21- and 28-day regimens. The Mini-Pack, developed by Wyeth-Ayerst, represents the smallest oral contraceptive packaging available. It has several convenient features to help women remember to take their birth control pill daily and in the prescribed sequence.
Alesse, like other oral contraceptive, has proven to be more than 99 percent effective when taken as directed. In addition, birth control pills may provide protection from ovarian and endometrial cancer and pelvic inflammatory disease. They also may make a womanâ€™s period less painful by reducing cramps and increase menstrual cycle regularity. Women who use Alesse or other oral contraceptives may experience iron-deficiency anemia and ectopic pregnancy less frequently.
","Side Effects
Common side effects associated with oral contraceptives include nausea, headache and breast tenderness. Serious side effects occur infrequently, especially if a woman is in good health and does not smoke. These may include blood clots, heart disease, stroke, liver tumors and gallbladder disease. Several studies have found no overall increase in the risk of developing breast cancer in women taking oral contraceptives. Some women should not use oral contraceptives, including those who have had blood clots, certain cancers, or a history of heart attack or stroke, as well as those who are or may be pregnant.
","Additional Information
Cigarette smoking increases the risk of serious cardiovascular side effects. This risk increases with age and is most pronounced in women older than age 35. Women on oral contraceptives should not smoke. In addition, oral contraceptives do not protect a woman against HIV infection or other sexually transmitted diseases.",
Obstetrics/Gynecology (Womenâ€™s Health),Alora,"General Information
Alora is an estrogen replacement therapy system approved for the prevention of postmenopausal osteoporosis. In 1996, Alora was approved for the treatment of moderate-to-severe vasomotor menopausal symptoms, specifically hot flashes. The Alora patch is thin, flexible and virtually transparent when worn on the skin. The patch can be placed on the abdomen, hip or buttock and is available in four dosage strengths. It is applied twice weekly and is worn continuously for three or four days.
Osteoporosis is a thinning of the bones that makes them weaken and more prone to breakage. Women who undergo menopause at an early age, are thin, smoke or have a family history of osteoporosis are more likely to develop this debilitating disease.
Clinical Results
Approval of Alora is supported by a double-blind, placebo-controlled trial involving 268 postmenopausal women who experienced an average of at least 60 moderate-to-severe hot flashes during the screening period. At weeks four and 12, Alora was seen to be statistically better than placebo at relieving the frequency and severity of vasomotor symptoms.
Alora was also tested in clinical trials in 355 hysterectomized, non-osteoporotic women to measure the drug's effect on bone mineral density (BMD). Alora was shown to increase lumbar spine BMD statistically better than placebo.
","Side Effects
Adverse events associated with the use of Alora may include (but are not limited to) the following:
Headache
Nausea
Vomiting
Breast tenderness or enlargement
Retention of excess fluid
Vaginal spotting or bleeding
","Additional Information
For additional information on Alora, please visit Alora.","Mechanism of Action
Alora (estradiol) is a transdermal system designed to deliver estradiol, a human estrogen. Estrogens bind to nuclear receptors in estrogen-responsive tissues and modulate the pituitary secretion of the gonadotropins luteinizing hormone and follicle stimulating hormone through a negative feedback mechanism. Estrogen replacement therapy acts to reduce the elevated levels of these hormones seen in postmenopausal women.
The skin metabolizes estradiol only to a small extent compared to orally adminstered estradiol, which is rapidly metabolized into estrone, leading to higher circulating levels of estrone than estradiol. Transdermal administration then, produces therapeutic estradiol levels with lower levels of estrone and requires smaller doses.
"
Obstetrics/Gynecology (Womenâ€™s Health),Annovera (segesterone acetate andethinylestradiolvaginal system),"General Information
Annovera contains two active components, a progestin - segesterone acetate, and an estrogen - ethinyl estradiol. Both components work together to suppress ovulation.
Annovera is specifically indicated for use by females of reproductive potential to prevent pregnancy.
Annovera is supplied as a vaginal ring for intravaginal administration. One Annovera is inserted in the vagina. The vaginal system must remain in place continuously for 3 weeks (21 days) followed by a 1-week (7-day) vaginal system-free interval. One vaginal system provides contraception for thirteen 28-day cycles (1year). Please see drug label for specific insertion directions.
Clinical Results
FDA Approval
The FDA approval of Annovera was based on two 1-year multicenter trials enrolling 2,265 females, age 18â€“40 years, who were healthy and sexually active with regular menstrual cycles. Based on pooled data from the two trials, 2,111 females â‰¤35 years of age completed 17,427 evaluable 28-day cycles (cycles in which no back-up contraception was used).The pooled pregnancy rate, evaluated by the Pearl Index (PI),was 2.98 per 100 woman-years of Annovera use. Return to fertility was assessed in 290 of the subjects in the two trials who either desired pregnancy or switched to a non-hormonal method after the trials, and all 290 subjects reported a return to fertility during the 6-month follow-up period (defined as a return of menses or pregnancy).
","Side Effects
Adverse effects associated with the use of Annovera may include, but are not limited to, the following:
headache/migraine
nausea/vomiting
vulvovaginal mycotic infection/candidiasis
abdominal pain lower/upper
dysmenorrhea
vaginal discharge
urinary tract infection
breast tenderness/pain/discomfort
bleeding irregularities including metrorrhagia
diarrhea
genital pruritus
The Annovera label comes with the following Black Box Warning: Females over 35 years old who smoke should not use Annovera. Cigarette smoking increases the risk of serious cardiovascular events from combination hormonal contraceptive use.
","Additional Information
For additional information regarding Annovera or pregnancy prevention, please visit https://www.therapeuticsmd.com/","Mechanism of Action
Annovera (segesterone acetateand ethinyl estradiolvaginal system) is a ring-shaped, nonbiodegradable, flexible, opaque white vaginal system containing two active components: a progestin - segesterone acetate, and an estrogen - ethinyl estradiol. When placed in the vagina, each Annovera releases an approximate average 0.15mg/day of segesterone acetate and 0.013mg/day of ethinyl estradiol over the21 days in-use period of each cycle for up to 13 cycles (total of 273 days). Each cycle is 28 days, with 21 days in and 7 days out. The two components work together to suppress ovulation.
"
Obstetrics/Gynecology (Womenâ€™s Health),Aredia (pamidronate disodium for injection),"General Information
Aredia has been approved for treatment of osteolytic bone metastases of breast cancer, in conjunction with standard antineoplastic therapy. Aredia is the first drug that has been proven to reduce the incidence of skeletal complications of metastatic breast cancer, thereby reducing the need for radiation therapy or surgery to the bone. It has also been shown to provide relief of bone pain caused by metastatic breast cancer, thereby reducing the need for narcotic analgesics. The drug is also indicated for the treatment of osteolytic bone lesions of multiple myeloma, moderate-to-severe hypercalcemia of malignancy, and moderate-to-severe Paget's disease.
Clinical Results
The marketing clearance was based upon data from two large, placebo-controlled, double-blind, multicenter studies in breast cancer subjects with osteolytic bone metastases. These studies enrolled 372 subjects treated with hormonal therapy and 382 subjects treated with chemotherapy. All subjects enrolled had stage IV breast cancer with two or more lytic lesions, with at least one lesion that was one centimeter or greater in diameter. Subjects were randomized to receive Aredia 90 mg every three to four weeks via two-hour IV infusions for 12 months or matching placebo, in conjunction with either hormonal therapy or chemotherapy. The studies demonstrated that patients receiving Aredia had a significant reduction in skeletal complications, the primary endpoint, and significant relief of bone pain, a secondary endpoint. The Aredia treatment effect appeared to be less pronounced in the study of those receiving chemotherapy. Additionally, subjects receiving Aredia had fewer pathologic fractures and a decreased need for radiation therapy for pain or skeletal complications.
In these studies, skeletal morbidity was defined as the mean number of skeletal complications (pathologic fractures, spinal cord compression, radiation therapy, or surgery to bone) per subject per year. In subjects receiving concomitant chemotherapy, Aredia provided a 36% reduction in the skeletal morbidity rate (2.1 vs. 3.3 with placebo). In subjects receiving concomitant hormonal therapy, skeletal morbidity was reduced by 31% with Aredia (2.4 vs. 3.5). For an average subject, these reductions mean one fewer major skeletal complication per year with Aredia.
Additional results of the trials show that subjects treated with Aredia had fewer skeletal complications than those subjects who received placebo. Also, fewer Aredia-treated subjects required radiation therapy for pain, or to prevent or treat fractures, compared to subjects treated with placebo. Among subjects who had pain at the beginning of the trials, Ardia-treated subjects had less severe pain, and experienced pain less often, in comparison to subjects who did not receive Aredia. Additionally, Aredia-treated subjects also had a decreased need for strong pain medication, unlike subjects receiving placebo. The statistical significance of these results may be overstated due to numerous analyses.
","Side Effects
The incidence and type of adverse events with Aredia were similar to those with placebo, with most events likely due to the underlying disease or concomitant antineoplastic therapy. The most frequent adverse events were fatigue, fever, nausea, vomiting, anemia, and skeletal pain. Transient arthralgias and myalgias were reported slightly more frequently with Aredia than with antineoplastic therapy alone (12% and 23% vs. 8% and 17%, respectively). Serum calcium and electrolytes must be closely monitored, as must subjects with preexisting anemia, leukopenia, or thrombocytopenia.
","Additional Information
Breast cancer is diagnosed in approximately 184,000 women each year, and has the highest incidence of associated metastatic bone disease among all cancers. Approximately 100,000 breast cancer subjects are currently living with cancer that has metastasized to the bone. Subjects with osteolytic bone metastases often suffer from skeletal complications including pathologic bone fractures, spinal cord compression, impaired mobility, and chronic and debilitating bone pain.",
Obstetrics/Gynecology (Womenâ€™s Health),Arimidex (anastrozole),"General Information
Arimidex has been approved as a treatment for advanced breast cancer in postmenopausal women whose disease has progressed following therapy with tamoxifen.
Clinical Results
The FDA made its decision after evaluating results of clinical studies involving more than 750 subjects. Results from the two studies showed that Arimidex is effective in the treatment of advanced breast cancer.
","Side Effects
Most commonly reported side effects, regardless of causality, included fatigue, nausea, headache, hot flashes, pain and back pain. Arimidex is not associated with significant weight gain reported with progestins.
","Additional Information
Approximately one woman in eight will develop breast cancer in her lifetime. According to the American Cancer Society, an estimated 184,300 women will be diagnosed with breast cancer in 1996. It is estimated that about 6% of patients with breast cancer in the United States. have advanced breast cancer.","Mechanism of Action
Results from studies suggest that growth of some breast cancer tumors is stimulated by the female hormone estrogen. Arimidex, a nonsteroidal compound, is the first entry in a new class of third-generation selective oral aromatase inhibitors. Inhibition of aromatase reduces the production of estrogen. Thus, Arimidex reduces serum concentration of estrogen, an effect that has been shown to be of benefit in postmenopausal women with breast cancer.
"
Obstetrics/Gynecology (Womenâ€™s Health),Aromasin Tablets,"General Information
Aromasin, a new drug to treat post-menopausal advanced breast cancer in patients for whom treatment with tamofixen was ineffective, has been shown to inhibit the production of estrogen, upon which some breast cancer cells depend. Furthermore, studies indicate that Aromasin, which reduces the risk of tumor progression by 18 percent and the risk of death by 23 percent, is more beneficial than the hormone therapy, megestrol acetate.
In post-menopausal women, the principle source of estrogen comes from the conversion of adrenal and ovarian androgens to estrogens by the aromatase (exemestane) enzyme. For post-menopausal women with hormone-dependent breast cancer, Aromasin serves as an aromatase inhibitor. As a result, the concentrations of estrogen, on which breast cancer cells may depend, are lowered. This estrogen-depriving process nicknamed, ""suicide inhibition,"" is irreversible. However, it does not affect other enzymes involved in the steroidogenic pathway up to a concentration at least 600 times higher than that inhibiting the aromatase enzyme.
Warnings/Precautions:
Aromasin should not be administered to premenopausal women. Neither should it be coadministered with estrogen-containing agents.
Pregnant women should not take Aromasin, as it could pose a potential hazard to the fetus, and could cause potential loss of the pregnancy.
Aromasin has not yet been tested for pediatric patients.
Clinical Results
A phase III, double blind, randomized study was conducted for 769 post-menopausal patients whose breast cancer had metastasized (spread). The study compared the effects of Aromasin versus those of megestrol acetate on survival, tumor reduction, and duration of disease stabilization. Patients taking megestrol acetate had a median survival (estimated time at which 50 percent of the patients were still alive) of approximately 28 months, while patients taking Aromasin had a median survival significantly longer than 28 months (p< 0.039). Moreover, the progression of cancer was delayed longer in patients taking Aromasin (4.7 months) than in patients taking megestrol acetate (3.8 months). Also, 15 percent of patients treated with Aromasin experienced at least a 50 percent or greater reduction in the size of the tumor or a complete disappearance of all known lesions. This suggested a possible advantage over the 12.4 percent of patients treated with megestrol acetate who experienced this effect, although the difference was not statistically significant. Finally, the regiment for taking Aromasin is one 25mg pill taken daily, versus the 40mg pill of megestrol acetate taken four times daily. Based on the study's results, researchers are confident that Aromasin provides greater benefit than megestrol acetate.
","Side Effects
In clinical trials, any adverse effects were generally described as mild to moderate. Some Aromasin use was associated with low-grade nausea, hot-flashes, fatigue, increased sweating, and increased appetite. However, only 7.6% of patients experienced undesirable weight gain (lower than the rate caused by magestrol acetate).
Warnings/Precautions
Aromasin should not be administered to premenopausal women. Neither should it be coadministered with estrogen-containing agents. Pregnant women should not take Aromasin, as it could pose a potential hazard to the fetus, and could cause potential loss of the pregnancy.
",,"Mechanism of Action
Exemestane is an irreversible, steroidal aromatase inactivator, structurally related to the natural substrate androstenedione. It acts as a false substrate for the aromatase enzyme and is processed to an intermediate that binds irreversibly to the active site of the enzyme causing its inactivation. Exemestane significantly lowers circulating estrogen concentrations in postmenopausal women, but has no detectable effect on adrenal biosynthesis of corticosteroids or aldosterone. (FDA Label)"
Obstetrics/Gynecology (Womenâ€™s Health),Avastin (bevacizumab),"General Information
Avastin (bevacizumab) is a vascular endothelial growth factor directed antibody.
Avastin is specifically indicated for use in combination with paclitaxel and cisplatin or paclitaxel and topotecan, for the treatment of patients with persistent, recurrent, or metastatic cervical cancer.
Avastin is supplied as an injection for intravenous administration. The recommended dose of Avastin is 15 mg/kg intravenously every 3 weeks in combination with paclitaxel and cisplatin or in combination with paclitaxel and topotecan.
Clinical Results
FDA Approval
The FDA approval of Avastin for persistent, recurrent, or metastatic cervical cancer was based on a randomized, four-arm, multi-center study comparing Avastin with chemotherapy versus chemotherapy alone. A total of 452 patients were randomized (1:1:1:1) to receive paclitaxel and cisplatin with or without Avastin, or paclitaxel and topotecan with or without Avastin. The dosing regimens for Avastin, paclitaxel, cisplatin and topotecan were as follows:
Day 1: Paclitaxel 135 mg/m2 over 24 hours, Day 2: cisplatin 50 mg/m2 with Avastin;
Day 1: Paclitaxel 175 mg/m2 over 3 hours, Day 2: cisplatin 50 mg/m2 with Avastin;
Day 1: Paclitaxel 175 mg/m2 over 3 hours with cisplatin 50 mg/m2 with Avastin;
Day 1: Paclitaxel 175 mg/m2 over 3 hours with Avastin, Days 1-3: topotecan IV 0.75 mg/m2 over 30 minutes
Patients were treated until disease progression or unacceptable adverse reactions. The main outcome measure was OS. Results showed an increase in overall survival to 16.8 months in patients who received chemotherapy in combination with Avastin as compared to 12.9 months for those receiving chemotherapy alone.
","Side Effects
Adverse effects associated with the use of Avastin may include, but are not limited to, the following:
epistaxis
headache
hypertension
rhinitis
proteinuria
taste alteration
dry skin
rectal hemorrhage
lacrimation disorder
back pain
exfoliative dermatitis
The Avastin drug label comes with the following Black Box Warning: Gastrointestinal Perforations: The incidence of gastrointestinal perforation, some fatal, in patients receiving Avastin ranges from 0.3% to 3%. Discontinue Avastin in patients who develop gastrointestinal perforations. Surgery and Wound Healing Complications: The incidence of wound healing and surgical complications, including serious and fatal complications, is increased in patients receiving Avastin. Discontinue Avastin in patients who develop wound healing complications that require medical intervention. Withhold Avastin at least 28 days prior to elective surgery. Do not administer Avastin for at least 28 days after surgery, and until the wound is fully healed. Hemorrhages: Severe or fatal hemorrhage, including hemoptysis, gastrointestinal bleeding, hematemesis, CNS hemorrhage, epistaxis, and vaginal bleeding occur up to 5-fold more frequently in patients receiving Avastin. Do not administer Avastin to patients with a recent history of hemoptysis. Discontinue in patients who develop Grade 3-4 hemorrhage.
","Additional Information
For additional information regarding Avastin or persistent, recurrent, or metastatic cervical cancer, please visit https://www.avastin.com/","Mechanism of Action
Avastin (bevacizumab) binds VEGF and prevents the interaction of VEGF to its receptors (Flt-1 and KDR) on the surface of endothelial cells. The interaction of VEGF with its receptors leads to endothelial cell proliferation and new blood vessel formation in in vitro models of angiogenesis.
"
Obstetrics/Gynecology (Womenâ€™s Health),Avastin (bevacizumab),"General Information
Avastin (bevacizumab) is a vascular endothelial growth factor directed antibody.
Avastin is specifically indicated for the following:
for use in combination with carboplatin and paclitaxel, followed by Avastin as a single agent, for the treatment of patients with stage III or IV epithelial ovarian, fallopian tube, or primary peritoneal cancer following initial surgical resection;
for use in combination with paclitaxel, pegylated liposomal doxorubicin, or topotecan, for the treatment of patients with platinum-resistant recurrent epithelial ovarian, fallopian tube or primary peritoneal cancer who received no more than 2 prior chemotherapy regimens;
for use in combination with carboplatin and paclitaxel, or with carboplatin and gemcitabine, followed by Avastin as a single agent, for the treatment of patients with platinum sensitive recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer.
Avastin is supplied as an injection for intravenous administration. The recommended dose is as follows:
Treatment of Stage III or IV Disease Following Initial Surgical Resection:
The recommended dose is 15 mg/kg intravenously every 3 weeks in combination with carboplatin and paclitaxel for up to 6 cycles, followed by Avastin 15 mg/kg every 3 weeks as a single agent, for a total of up to 22 cycles or until disease progression, whichever occurs earlier.
Treatment of Recurrent Disease:
Platinum Resistant:
The recommended dose is 10 mg/kg intravenously every 2 weeks in combination with paclitaxel, pegylated liposomal doxorubicin, or topotecan (every week).
The recommended dose is 15 mg/kg intravenously every 3 weeks in combination with topotecan (every 3 weeks).
Platinum Sensitive:
The recommended dose is 15 mg/kg intravenously every 3 weeks, in combination with carboplatin and paclitaxel for 6 to 8 cycles, followed by Avastin 15 mg/kg every 3 weeks as a single agent until disease progression.
The recommended dose is 15 mg/kg intravenously every 3 weeks, in combination with carboplatin and gemcitabine for 6 to 10 cycles, followed by Avastin 15 mg/kg every 3 weeks as a single agent until disease progression.
Clinical Results
FDA Approval
The FDA approval of Avastin was based on the following trials:
Study MO22224: a multicenter, open-label, randomized study comparing Avastin with chemotherapy versus chemotherapy alone in patients with platinum-resistant, recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer that recurred within <6 months from the most recent platinum-based therapy (N=361). Patients had received no more than 2 prior chemotherapy regimens. Patients received one of the following chemotherapy regimens at the discretion of the investigator: paclitaxel (80 mg/m2 on days 1, 8, 15 and 22 every 4 weeks; pegylated liposomal doxorubicin 40 mg/m2 on day 1 every 4 weeks; or topotecan 4 mg/m2 on days 1, 8 and 15 every 4 weeks or 1.25 mg/m2 on days 1-5 every 3 weeks). Patients were treated until disease progression, unacceptable toxicity, or withdrawal. Forty percent of patients on the chemotherapy alone arm received Avastin alone upon progression. The main outcome measure was investigator-assessed PFS. The addition of Avastin to chemotherapy demonstrated a statistically significant improvement in investigator-assessed PFS. The median PFS was 6.8 months for the Avastin/chemo arm and 3.4 months for the chemo monotherapy arm.
Study AVF4095g: a randomized, double-blind, placebo-controlled study studying Avastin with chemotherapy versus chemotherapy alone in the treatment of patients with platinum sensitive recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who have not received prior chemotherapy in the recurrent setting or prior bevacizumab treatment (N=484). Patients were randomized (1:1) to receive Avastin (15 mg/kg day 1) or placebo every 3 weeks with carboplatin (AUC 4, day 1) and gemcitabine (1000 mg/m2 on days 1 and 8) a for 6 to 10 cycles followed by Avastin or placebo alone until disease progression or unacceptable toxicity. The main outcome measures was investigator-assessed PFS. A statistically significant prolongation in PFS was demonstrated among patients receiving Avastin with chemotherapy compared to those receiving placebo with chemotherapy: median 12.4 months versus 8.4 months, respectively.
",,,"Mechanism of Action
Avastin (bevacizumab) binds VEGF and prevents the interaction of VEGF to its receptors (Flt-1 and KDR) on the surface of endothelial cells. The interaction of VEGF with its receptors leads to endothelial cell proliferation and new blood vessel formation in in vitro models of angiogenesis."
Obstetrics/Gynecology (Womenâ€™s Health),Bextra,"General Information
On April 7, 2005, the Food and Drug Administration (FDA) asked Pfizer to voluntarily remove Bextra (valdecoxib) from the market. This request was made citing the potential for increased risk of cardiovascular (CV) events and the well described, serious, potential life-threatening gastrointestinal (GI) bleeding outweighs the benefit of Bextra treatment.
Bextra is approved to treat the signs and symptoms of osteoarthritis (OA), adult rheumatoid arthritis (RA) and the treatment of pain associated with menstrual cramping. Bextra has previously been approved for relief from arthritis pain. Bextra is a once-daily treatment in an oral tablet formulation.
More than 23 million Americans suffer from some form of arthritis. The most prevalent is OA, which affects approximately 21 million Americans. This chronic disorder is characterized by the degeneration of joint cartilage and bone, which can lead to severe pain and stiffness. RA, which affects joint lining, cartilage and bone, affects over two million Americans.
Clinical Results
The approval of Bextra is supported by results from clinical studies lasting from three to six months. In five double-blind trials with 3,918 subjects with OA of the knee or hip, Bextra was significantly superior to placebo and comparable to a naproxen control, in treating pain and stiffness and improving functional measures. In four double-blind trials with 3,444 subjects with RA, Bextra demonstrated significantly better results than placebo and comparable results to naproxen in improving the tenderness and number of swollen joints and the level of pain. Bextra was evaluated for treatment of menstrual pain in two placebo-controlled studies. The onset, magnitude and duration of analgesic effect of a 20 mg dose of Bextra was comparable to a 500 mg dose of naproxen.
In all studies, Bextra was overall well tolerated and exhibited a significantly better gastrointestinal safety profile than other conventional nonsteroidal anti-inflammatory drugs (NSAIDs), such as naproxen, ibuprofen and diflonac.
","Side Effects
Adverse events associated with the use of Bextra may include (but are not limited to) the following:
Dyspepsia
Headache
Abdominal pain
Nausea
Diarrhea
",,"Mechanism of Action
Bextra (valdecoxib) is an NSAID that exhibits anti-inflammatory, analgesic and antipyretic properties. These effects are due to the inhibition of COX-2, which in turn inhibits prostaglandin synthesis."
Obstetrics/Gynecology (Womenâ€™s Health),Bijuva (estradiol and progesterone),"General Information
Bijuva is a bio-identical hormone therapy combination of an estrogen and progesterone.
Bijuva is specifically indicated for use in women with a uterus for the treatment of moderate to severe vasomotor symptoms due to menopause.
Bijuva is supplied as a capsule for oral administration. The recommended dose is a single capsule, 1 mg/100 mg, orally each evening with food.
Clinical Results
FDA Approval
The FDA approval of Bijuva was based on the phase III Replenish Trial which evaluated four doses of Bijuva and placebo in 1,835 post-menopausal women between 40 and 65 years old. The Replenish Trial results demonstrated: Two Bijuva doses (estradiol 1 mg/progesterone 100 mg) and (estradiol 0.5 mg/progesterone 100 mg) achieved all of the co-primary efficacy endpoints and the primary safety endpoint. Both doses demonstrated a statistically significant and clinically meaningful reduction from baseline in both the frequency and severity of hot flashes compared to placebo, and the primary safety endpoint: the incidence of consensus endometrial hyperplasia or malignancy was 0 percent. In addition, both doses met the secondary endpoints using well-validated patient reported outcome tools, including the Menopause-Specific Quality of Life (MENQOL), the Clinical Global Impression scale (CGI), and the responder analysis rate.
","Side Effects
Adverse effects associated with the use of Bijuva may include, but are not limited to, the following:
breast tenderness
headache
vaginal bleeding
vaginal discharge
pelvic pain
The Bijuva drug label comes with the following Black Box Warning:
Estrogen plus progestin therapy may increase the risk of the following: cardiovascular disorders (including stroke, deep vein thrombosis, pulmonary embolism and myocardial infarction; invasive breast cancer and probable dementia in postmenopausal women 65 years of age of older. Estrogen-Alone Therapy may increase the risk of the following: endometrial cancer in a woman with a uterus who uses unopposed estrogens, stroke and DVT and probable dementia in postmenopausal women 65 years of age or older.
","Additional Information
For additional information regarding Bijuva or moderate to severe vasomotor symptoms due to menopause, please visit https://bijuva.com/","Mechanism of Action
Bijuva is a bio-identical hormone therapy combination of an estrogen and progesterone. Bio-identical refers to estradiol and progesterone that are molecularly identical to the hormones circulating naturally in the womanâ€™s body. As the ovaries stop producing hormones, levels of circulating estrogen and progesterone decrease, often causing vasomotor symptoms (VMS) such as night sweats, hot flashes, and sleep disturbances.
"
Obstetrics/Gynecology (Womenâ€™s Health),"Bravelle (urofollitropin for injection, purified)","General Information
Bravelle, approved in May 2002 for the treatment of infertility, is a highly purified, human-derived follicle-stimulating hormone (hFSH) indicated for ovulation induction following pituitary suppression. It is used in conjuction with human chorionic gonadotropin.
Bravelle is available for both subcutaneous and intramuscular injection.
Clinical Results
Brevelle was evaluated in a prospective, parallel group, multicenter trial involving 111 oligo-anovulatory subjects undergoing ovulation induction. The trial compared Bravelle to follitropin beta, a recombinant FSH. Subjects first underwent pituitary suppression with a GnRH agonist and were then randomized into three treatment groups: Bravelle subcutaneous (SC), Bravelle intramuscular (IM), and follitropin beta SC. Results of this clinical trial showed no significant differences in safety and efficacy between the treatment groups.
","Side Effects
Adverse reactions included ovarian hyperstimulation syndrome (OHSS), with or without pulmonary or vascular complications, which occurred in 8.2% of subjects receiving Brevelle.
","Additional Information
For more information about Bravelle, please visit the Ferring Pharmaceuticals web site at: www.ferringusa.com.",
